F	W1	W2
147787.4344	-0.003018166	-0.011559457
147901.2624	-0.00299676	-0.011544406
148001.2457	-0.002975505	-0.011529293
148086.9468	-0.002954406	-0.011514119
148157.9102	-0.002933468	-0.01149888
148213.6553	-0.002912698	-0.011483571
148253.6792	-0.002892101	-0.011468015
148277.4891	-0.002871627	-0.011452805
148284.417	-0.002851397	-0.011437297
148273.9252	-0.002831362	-0.01142174
148245.391	-0.00281153	-0.011406125
148198.1358	-0.002791911	-0.011390445
148131.4329	-0.002772514	-0.011374701
148044.5027	-0.002753349	-0.011358892
147936.5065	-0.00273443	-0.011343019
147806.5356	-0.002715768	-0.01132708
147653.6105	-0.002697378	-0.011311076
147476.663	-0.002679275	-0.011295005
147274.54	-0.002661476	-0.011278869
147045.9752	-0.002644001	-0.011262667
146789.5913	-0.002626871	-0.011246399
146503.8788	-0.002610108	-0.011230066
146187.1854	-0.00259374	-0.011213668
145837.6928	-0.002577796	-0.011197206
145453.3971	-0.002562308	-0.011180682
145032.0963	-0.002547315	-0.011164098
144571.3605	-0.002532857	-0.011147455
144068.5051	-0.002518984	-0.011130759
143520.5695	-0.002505748	-0.011114013
142924.2957	-0.002493213	-0.011097224
142276.0953	-0.002481447	-0.011080402
141572.046	-0.002470532	-0.011063557
140807.8843	-0.00246056	-0.011046704
139979.0157	-0.002451635	-0.011029863
139080.5792	-0.002443876	-0.01101306
138107.535	-0.002437417	-0.010996328
137054.8581	-0.002432408	-0.01097971
135917.7904	-0.002429012	-0.010963259
134692.2594	-0.002427403	-0.010947042
133375.3981	-0.002427762	-0.010931143
131966.194	-0.002430263	-0.010915656
130466.1688	-0.00243506	-0.010900693
128879.9407	-0.002442274	-0.01088637
127215.5024	-0.002451974	-0.010872764
125482.3896	-0.002464177	-0.010860124
123698.3159	-0.00247876	-0.010848357
121874.2914	-0.002495686	-0.010837651
120026.5529	-0.002514745	-0.010828008
118168.992	-0.002535738	-0.010819434
116313.7954	-0.002558454	-0.010811915
114471.0878	-0.002582685	-0.010805416
112648.9357	-0.002608238	-0.010799894
110853.5325	-0.002634938	-0.0107953
109089.4877	-0.002662631	-0.010791581
107360.121	-0.002691183	-0.010788688
105667.7356	-0.002720476	-0.010786573
104013.8503	-0.002750409	-0.010785189
102399.3674	-0.002780895	-0.010784496
100824.7357	-0.002811858	-0.010784456
99290.03514	-0.002843232	-0.010785032
